DATA_INICIO;DATA_FIM;CATEGORIA;LOCAL_INICIO;LOCAL_FIM;DISTANCIA;PROPOSITO
01-01-2016 21:11;01-01-2016 21:17;Negocio;Fort Pierce;Fort Pierce;51;Alimentação
01-02-2016 01:25;01-02-2016 01:37;Negocio;Fort Pierce;Fort Pierce;5;
01-02-2016 20:25;01-02-2016 20:38;Negocio;Fort Pierce;Fort Pierce;48;Entregas
01-05-2016 17:31;01-05-2016 17:45;Negocio;Fort Pierce;Fort Pierce;47;Reunião
01-06-2016 14:42;01-06-2016 15:49;Negocio;Fort Pierce;West Palm Beach;637;Visita ao cliente
01-06-2016 17:15;01-06-2016 17:19;Negocio;West Palm Beach;West Palm Beach;43;Alimentação
01-06-2016 17:30;01-06-2016 17:35;Negocio;West Palm Beach;Palm Beach;71;Reunião
01-07-2016 13:27;01-07-2016 13:33;Negocio;Cary;Cary;8;Reunião
01-10-2016 08:05;01-10-2016 08:25;Negocio;Cary;Morrisville;83;Reunião
01-10-2016 12:17;01-10-2016 12:44;Negocio;Jamaica;New York;165;Visita ao cliente
01-10-2016 15:08;01-10-2016 15:51;Negocio;New York;Queens;108;Reunião
01-10-2016 18:18;01-10-2016 18:53;Negocio;Elmhurst;New York;75;Reunião
01-10-2016 19:12;01-10-2016 19:32;Negocio;Midtown;East Harlem;62;Reunião
01-11-2016 11:56;01-11-2016 12:03;Negocio;Flatiron District;Midtown;16;Entregas
01-11-2016 13:32;01-11-2016 13:46;Negocio;Midtown;Midtown East;17;Alimentação
01-11-2016 14:30;01-11-2016 14:43;Negocio;Midtown East;Midtown;19;Alimentação
01-12-2016 12:33;01-12-2016 12:49;Negocio;Midtown;Hudson Square;19;Alimentação
01-12-2016 12:53;01-12-2016 13:09;Negocio;Hudson Square;Lower Manhattan;4;Alimentação
01-12-2016 14:42;01-12-2016 14:56;Negocio;Lower Manhattan;Hudson Square;18;Entregas
01-12-2016 15:13;01-12-2016 15:28;Negocio;Hudson Square;Hell's Kitchen;24;Visita ao cliente
01-12-2016 15:42;01-12-2016 15:54;Negocio;Hell's Kitchen;Midtown;2;Entregas
01-12-2016 16:02;01-12-2016 17:00;Negocio;New York;Queens County;151;Reunião
01-13-2016 13:54;01-13-2016 14:07;Negocio;Downtown;Gulfton;112;Reunião
01-13-2016 15:00;01-13-2016 15:28;Negocio;Gulfton;Downtown;118;Reunião
01-13-2016 16:29;01-13-2016 17:05;Negocio;Houston;Houston;219;Visita ao cliente
01-13-2016 21:39;01-13-2016 21:45;Negocio;Eagan Park;Jamestown Court;39;Entregas
01-15-2016 0:41;01-15-2016 1:01;Negocio;Morrisville;Cary;8;Entregas
01-15-2016 11:43;01-15-2016 12:03;Negocio;Cary;Durham;104;Alimentação
01-15-2016 13:26;01-15-2016 13:44;Negocio;Durham;Cary;104;Alimentação
01-18-2016 14:55;01-18-2016 15:06;Negocio;Cary;Cary;48;Alimentação
01-18-2016 16:13;01-18-2016 16:24;Negocio;Farmington Woods;Whitebridge;47;Alimentação
01-19-2016 9:09;01-19-2016 9:23;Negocio;Whitebridge;Lake Wellingborough;72;
01-20-2016 10:36;01-20-2016 11:11;Negocio;Cary;Raleigh;171;Reunião
01-20-2016 11:48;01-20-2016 12:19;Negocio;Fayetteville Street;Umstead;151;Reunião
01-20-2016 13:25;01-20-2016 14:19;Negocio;Raleigh;Cary;402;Visita ao cliente
01-21-2016 14:25;01-21-2016 14:29;Negocio;Cary;Cary;16;Entregas
01-21-2016 14:43;01-21-2016 14:51;Negocio;Cary;Cary;24;Alimentação
01-21-2016 16:01;01-21-2016 16:06;Negocio;Cary;Cary;1;Alimentação
01-26-2016 10:41;01-26-2016 10:50;Negocio;Whitebridge;Hazelwood;2;Alimentação
01-26-2016 12:33;01-26-2016 12:41;Negocio;Hazelwood;Whitebridge;23;Entregas
01-26-2016 16:24;01-26-2016 16:32;Negocio;Whitebridge;Westpark Place;19;Entregas
01-26-2016 17:17;01-26-2016 17:22;Negocio;Cary;Cary;14;Entregas
01-26-2016 17:27;01-26-2016 17:29;Negocio;Cary;Cary;5;Entregas
01-27-2016 9:24;01-27-2016 9:31;Negocio;Cary;Cary;18;Reunião
01-27-2016 10:19;01-27-2016 10:48;Negocio;Cary;Raleigh;187;Visita ao cliente
01-27-2016 12:34;01-27-2016 12:44;Negocio;Fairmont;Meredith Townes;34;Visita ao cliente
01-27-2016 14:05;01-27-2016 14:13;Negocio;Raleigh;Raleigh;27;Visita ao cliente
01-27-2016 14:46;01-27-2016 15:08;Negocio;Raleigh;Cary;129;Visita ao cliente
01-28-2016 12:28;01-28-2016 13:00;Negocio;Cary;Raleigh;19;Parada temporária
01-28-2016 15:11;01-28-2016 15:31;Negocio;Meredith Townes;Leesville Hollow;147;Reunião
01-28-2016 16:21;01-28-2016 16:51;Negocio;Raleigh;Cary;157;Reunião
01-29-2016 9:31;01-29-2016 9:45;Negocio;Cary;Cary;46;Visita ao cliente
01-29-2016 10:56;01-29-2016 11:07;Negocio;Cary;Cary;52;Reunião
01-29-2016 11:43;01-29-2016 12:03;Negocio;Cary;Durham;104;Reunião
01-29-2016 13:24;01-29-2016 13:47;Negocio;Durham;Cary;101;Reunião
01-29-2016 18:31;01-29-2016 18:52;Negocio;Cary;Apex;58;Entregas
01-29-2016 21:21;01-29-2016 21:40;Negocio;Apex;Cary;55;Alimentação
01-30-2016 16:21;01-30-2016 16:33;Negocio;Cary;Apex;57;Entregas
01-30-2016 18:09;01-30-2016 18:24;Negocio;Apex;Cary;57;Visita ao cliente
02-01-2016 10:35;02-01-2016 11:15;Negocio;Cary;Chapel Hill;194;Visita ao cliente
02-01-2016 12:10;02-01-2016 12:43;Negocio;Chapel Hill;Cary;233;Visita ao cliente
02-01-2016 12:56;02-01-2016 13:07;Negocio;Northwoods;Whitebridge;39;Alimentação
02-02-2016 13:04;02-02-2016 13:23;Negocio;Whitebridge;Williamsburg Manor;83;Reunião
02-02-2016 13:51;02-02-2016 14:06;Negocio;Cary;Cary;6;Entregas
02-02-2016 14:38;02-02-2016 14:42;Negocio;Cary;Cary;16;Entregas
02-04-2016 08:40;02-04-2016 09:01;Negocio;Cary;Morrisville;52;Entregas
02-04-2016 09:37;02-04-2016 10:09;Negocio;Morrisville;Cary;97;Alimentação
02-04-2016 10:26;02-04-2016 10:32;Negocio;Cary;Cary;16;Alimentação
02-04-2016 15:59;02-04-2016 16:03;Negocio;Cary;Cary;11;Alimentação
02-04-2016 16:35;02-04-2016 16:39;Negocio;Cary;Cary;16;Alimentação
02-04-2016 18:04;02-04-2016 18:31;Negocio;Whitebridge;Macgregor Downs;9;Reunião
02-04-2016 20:36;02-04-2016 20:55;Negocio;Cary;Cary;77;Reunião
02-05-2016 11:47;02-05-2016 12:07;Negocio;Cary;Durham;104;Reunião
02-05-2016 13:22;02-05-2016 13:41;Negocio;Durham;Cary;104;Reunião
02-06-2016 16:20;02-06-2016 16:53;Negocio;Cary;Raleigh;114;Entre escritórios
02-06-2016 18:57;02-06-2016 19:21;Negocio;Raleigh;Cary;9;Entregas
02-06-2016 19:28;02-06-2016 19:37;Negocio;Edgehill Farms;Whitebridge;32;Alimentação
02-07-2016 16:49;02-07-2016 17:01;Negocio;Cary;Apex;56;Entregas
